service_id,date,exception_type
20200927_2,20201126,1
20200927_10,20201126,2
20200927_2,20201127,1
20200927_10,20201127,2
20200927_2,20201225,1
20200927_10,20201225,2
20200927_2,20210101,1
20200927_10,20210101,2
20210411_2,20210531,1
20210411_10,20210531,2
20210411_2,20210705,1
20210411_10,20210705,2
